Release,ClassName,SizeLOC
1,"client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java",99
1,"client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java",65
1,"client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java",35
1,"client/src/main/java/org/apache/syncope/types/TraceLevel.java",40
1,"client/src/main/java/org/apache/syncope/types/UserRequestType.java",27
1,"client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java",29
1,"client/src/main/java/org/apache/syncope/types/package-info.java",19
1,"console/src/main/java/org/apache/syncope/console/SyncopeApplication.java",174
1,"console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java",83
1,"console/src/main/java/org/apache/syncope/console/SyncopeSession.java",112
1,"console/src/main/java/org/apache/syncope/console/commons/Constants.java",94
1,"console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java",50
1,"console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java",165
1,"console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java",43
1,"console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java",180
1,"console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java",111
1,"console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java",66
1,"console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java",113
1,"console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java",40
1,"console/src/main/java/org/apache/syncope/console/commons/SelectOption.java",72
1,"console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java",66
1,"console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java",77
1,"console/src/main/java/org/apache/syncope/console/commons/StatusBean.java",59
1,"console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java",184
1,"console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java",95
1,"console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java",102
1,"console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java",183
1,"console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java",119
1,"console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java",50
1,"console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java",211
1,"console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java",54
1,"console/src/main/java/org/apache/syncope/console/pages/BasePage.java",221
1,"console/src/main/java/org/apache/syncope/console/pages/Configuration.java",705
1,"console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java",116
1,"console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java",443
1,"console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java",119
1,"console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java",311
1,"console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java",90
1,"console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java",41
1,"console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java",32
1,"console/src/main/java/org/apache/syncope/console/pages/HomePage.java",33
1,"console/src/main/java/org/apache/syncope/console/pages/Login.java",272
1,"console/src/main/java/org/apache/syncope/console/pages/Logout.java",48
1,"console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java",96
1,"console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java",259
1,"console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java",69
1,"console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java",206
1,"console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java",45
1,"console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java",70
1,"console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java",574
1,"console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java",348
1,"console/src/main/java/org/apache/syncope/console/pages/Reports.java",495
1,"console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java",165
