Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumAttributesSelected,measureSelectionTime,measureTime,measureOutOfBagError
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02607231946E7,14456.0,1607.0,1509.0,98.0,0.0,93.9016801493466,6.098319850653391,0.0,0.44142412269190134,0.08265526496035935,0.22757882363004434,67.23186196137625,91.68622216651896,563.5261216522887,21800.140720912194,-21236.614599259905,0.3506696463299867,13.565737847487364,-13.215068201157377,-77.72663848773826,-0.048367541062687154,-13.792907817625137,0.9760159893404398,1465.0,0.5849056603773585,62.0,0.41509433962264153,44.0,0.023984010659560292,36.0,0.9593975114603799,0.9760159893404398,0.9676354029062088,0.44635258292099544,0.8184355084032029,0.977710162720899,0.9390168014934661,0.5479064725303848,0.4520935274696151,0.060983198506533914,0.9323930707542192,0.9390168014934661,0.9350163518336203,0.44635258292099544,0.8184355084032029,0.9420911207142874,0.7203768412380507,0.9390168014934661,2.043,0.073,2.0,0.078125,2000.0,78.125,9650273.0,2271453.0,254160.0,97.75980087118855,58.74299937772246,?,6.0,39.0,2043.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02607231946E7,14456.0,1607.0,1524.0,83.0,0.0,94.83509645301804,5.164903546981954,0.0,0.4778321073297915,0.07672210764896006,0.21860663261496213,62.40582681955638,88.07153479970778,563.5261216522887,30328.741398869446,-29765.215277217158,0.3506696463299867,18.872894461026412,-18.522224814696425,-37.025001560772374,-0.023039826733523568,-6.570236966515962,0.9873417721518988,1482.0,0.6037735849056604,64.0,0.39622641509433965,42.0,0.012658227848101266,19.0,0.9586028460543338,0.9873417721518988,0.972760091893666,0.4982143089349671,0.7978894573429035,0.9738671730229952,0.9483509645301804,0.5647827772839421,0.43521722271605795,0.05164903546981954,0.9407881011107231,0.9483509645301804,0.9417736547615766,0.4982143089349671,0.7978892500552501,0.9387651707040001,0.737877051934857,0.9483509645301804,1.693,0.051,1.625,0.0625,1625.0,62.5,9710568.0,2271453.0,254160.0,97.44866210329808,58.15183571873055,?,6.0,54.0,1693.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02607231946E7,14456.0,1607.0,1507.0,100.0,0.0,93.77722464219042,6.222775357809583,0.0,0.4003552344846114,0.08439311579530528,0.23187519119010339,68.64543129057243,93.41712886661229,563.5261216522887,25019.077696215987,-24455.5515745637,0.3506696463299867,15.56881001631362,-15.218140369983633,-108.99603581147463,-0.06782578457465752,-19.341789426174678,0.9786808794137242,1469.0,0.6415094339622641,68.0,0.3584905660377358,38.0,0.021319120586275817,32.0,0.955757970071568,0.9786808794137242,0.9670836076366031,0.41002289978745876,0.796877553329227,0.9749909157350635,0.9377722464219042,0.6006008009704441,0.39939919902955584,0.06222775357809583,0.9285224456877915,0.9377722464219042,0.9317767407188976,0.41002289978745876,0.796877553329227,0.9385431208959222,0.6994508947273924,0.9377722464219042,1.905,0.043,1.84375,0.03125,1843.75,31.25,9585124.0,2271453.0,254160.0,97.63534536403236,59.17859365276914,?,6.0,46.0,1905.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02607231946E7,14457.0,1606.0,1523.0,83.0,0.0,94.8318804483188,5.168119551681196,0.0,0.45372806478316835,0.07502936383901851,0.21481839250111343,61.25268861138797,86.90237316387329,559.5975153616041,23896.878863422327,-23337.281348060722,0.34844179038705114,14.879750226290366,-14.531308435903314,-29.64078668956823,-0.01845628062862281,-5.296804556112935,0.9893404397068621,1485.0,0.638095238095238,67.0,0.3619047619047619,38.0,0.010659560293137908,16.0,0.9568298969072165,0.9893404397068621,0.9728136259416966,0.4816733932010721,0.817420132610006,0.9771243971732888,0.9483188044831881,0.597073602871564,0.4029263971284359,0.051681195516811954,0.9402805505271612,0.9483188044831881,0.9404619749587607,0.4816733932010721,0.8174205474434546,0.9456119032860497,0.7254005236626722,0.9483188044831881,2.135,0.062,2.09375,0.0625,2093.75,62.5,9740012.0,2271610.0,254003.0,97.69613947696139,58.15691158156912,?,6.0,48.0,2135.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02607231946E7,14457.0,1606.0,1538.0,68.0,0.0,95.76587795765877,4.2341220423412205,0.0,0.5789489917877942,0.06853860527661283,0.2022174852679895,55.95374440165474,81.80481736417329,559.5975153616041,21725.674778834997,-21166.07726347339,0.34844179038705114,13.527817421441467,-13.179375631054416,36.08469001845218,0.022468673735026264,6.448329205881974,0.9906728847435043,1487.0,0.5142857142857142,54.0,0.4857142857142857,51.0,0.009327115256495669,14.0,0.9649578195976638,0.9906728847435043,0.9776462853385929,0.5975676177689294,0.8352495161955522,0.9791673127178709,0.9576587795765878,0.4812716091187977,0.5187283908812023,0.04234122042341219,0.9531670626405411,0.9576587795765878,0.952955837044351,0.5975676177689294,0.8352491013621037,0.9516584437582102,0.7888231426692964,0.9576587795765878,2.05,0.061,2.03125,0.0625,2031.25,62.5,9857857.0,2271610.0,254003.0,97.94520547945206,58.25031133250312,?,6.0,24.0,2050.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,6,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02607231946E7,14457.0,1606.0,1519.0,87.0,0.0,94.58281444582815,5.417185554171856,0.0,0.4583872793382278,0.07546009184584299,0.22110957525914268,61.60432758482816,89.44740064180469,559.5975153616041,21792.317466586035,-21232.71995122443,0.34844179038705114,13.569313491024928,-13.220871700637877,-22.073525461463845,-0.013744411868906504,-3.9445360023087734,0.9846768820786143,1478.0,0.6095238095238096,64.0,0.3904761904761905,41.0,0.015323117921385743,23.0,0.9584954604409858,0.9846768820786143,0.9714097929674664,0.4740905837125276,0.8234859300149107,0.9786795688210221,0.9458281444582815,0.5706750719034768,0.4293249280965233,0.05417185554171856,0.9377131451568615,0.9458281444582815,0.9396219457075327,0.47409058371252766,0.8234859300149107,0.9447103272897679,0.7283084467795913,0.9458281444582815,1.761,0.061,1.6875,0.0625,1687.5,62.5,9688478.0,2271610.0,254003.0,97.38480697384807,57.84557907845579,?,6.0,28.0,1761.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,7,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0260723194700003E7,14457.0,1606.0,1509.0,97.0,0.0,93.9601494396015,6.039850560398506,0.0,0.38952590699971007,0.082062794920694,0.22359088289944037,66.9946613787418,90.45118583906336,559.5975153616041,20722.39668840424,-20162.799173042633,0.34844179038705114,12.903111263016338,-12.554669472629286,-93.3273487392701,-0.058111674183854364,-16.677584545557405,0.9820119920053297,1474.0,0.6666666666666666,70.0,0.3333333333333333,35.0,0.01798800799467022,27.0,0.9546632124352331,0.9820119920053297,0.9681444991789818,0.40462424339648617,0.8189936867485169,0.9782571466698898,0.9396014943960149,0.6242561690573518,0.3757438309426482,0.060398505603985055,0.9291554641430088,0.9396014943960149,0.9322520979548916,0.4046242433964861,0.8189941015819655,0.9440529767889209,0.6936530879128442,0.9396014943960149,2.012,0.057,1.96875,0.046875,1968.75,46.875,9689666.0,2271610.0,254003.0,97.69613947696139,58.84184308841843,?,6.0,31.0,2012.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,8,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0260723194700003E7,14457.0,1606.0,1528.0,78.0,0.0,95.14321295143213,4.85678704856787,0.0,0.5117741973201135,0.06928857658337746,0.20583540280622073,56.566008141745776,83.26840535737486,559.5975153616041,14257.918509162415,-13698.320993800811,0.34844179038705114,8.877906917286685,-8.529465126899634,26.896988421336136,0.0167478134628494,4.806488178196374,0.9880079946702198,1483.0,0.5714285714285714,60.0,0.42857142857142855,45.0,0.011992005329780146,18.0,0.9611147116007777,0.9880079946702198,0.9743758212877792,0.5304318239632295,0.8680942863487834,0.9846581413039402,0.9514321295143213,0.5348527062726729,0.4651472937273271,0.048567870485678705,0.944977074790017,0.9514321295143213,0.9456962065709568,0.5304318239632295,0.8680944937655076,0.9568653447395126,0.7550450535010325,0.9514321295143213,2.015,0.055,1.984375,0.046875,1984.375,46.875,9688589.0,2271610.0,254003.0,98.06973848069738,57.84557907845579,?,6.0,42.0,2015.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,9,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0260723194700003E7,14457.0,1606.0,1516.0,90.0,0.0,94.39601494396015,5.603985056039851,0.0,0.47118867303259804,0.08316206751679339,0.22158969825069794,67.89208871362334,89.64162901718215,559.5975153616041,18570.721965427383,-18011.124450065778,0.34844179038705114,11.563338708236229,-11.214896917849176,-105.39952390903682,-0.06562859521110637,-18.834880608955014,0.9800133244503664,1471.0,0.5714285714285714,60.0,0.42857142857142855,45.0,0.019986675549633577,30.0,0.960809928151535,0.9800133244503664,0.9703166226912929,0.47868401475917854,0.8393293359982235,0.9805993306526566,0.9439601494396015,0.5353753964178065,0.4646246035821935,0.05603985056039851,0.9372202379548281,0.9439601494396015,0.9395674038976529,0.47868401475917854,0.8393291285814992,0.9480856861536746,0.7351583113456465,0.9439601494396015,2.142,0.055,2.09375,0.0625,2093.75,62.5,9671132.0,2271610.0,254003.0,98.13200498132005,59.526774595267746,?,6.0,49.0,2142.0,-1.0
dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3,1,10,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.0260723194700003E7,14457.0,1606.0,1527.0,79.0,0.0,95.08094645080946,4.919053549190536,0.0,0.49188206364590314,0.0754153031604131,0.21193847212279723,61.327038081659516,85.36037204011565,563.4282373732834,17480.24100141699,-16916.81276404371,0.350827046932306,10.884334371990654,-10.533507325058348,-30.692519353012425,-0.019111157754055058,-5.447458490206618,0.99,1485.0,0.6037735849056604,64.0,0.39622641509433965,42.0,0.01,15.0,0.9586830213040671,0.99,0.9740898655296819,0.5182954526542715,0.8445314465408805,0.981308771667257,0.9508094645080947,0.564583049413755,0.43541695058624497,0.04919053549190536,0.9440409683150657,0.9508094645080947,0.9438110617470041,0.5182954526542715,0.8445312389858785,0.9508147520400886,0.7447136444212827,0.9508094645080947,1.979,0.06,1.90625,0.0625,1906.25,62.5,9801367.0,2271610.0,254003.0,98.00747198007473,58.74844333748443,?,6.0,37.0,1979.0,-1.0
