Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/PropagationTO.java",8,2,8,155,0,4,140,121,125,121,28,265,2172,174,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java",14,2,14,228,0,3,163,106,98,106,52,433,2900,660,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java",3,1,3,114,0,3,77,21,40,21,40,326,2305,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ReportTO.java",24,2,32,225,0,3,197,97,169,97,44,373,2750,177,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ResourceTO.java",36,4,36,371,0,3,303,58,235,58,84,571,3168,758,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/RoleTO.java",25,0,31,335,0,3,256,81,177,81,69,487,3033,751,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java",8,0,12,290,0,3,182,35,74,35,72,500,3005,822,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java",14,2,14,391,0,3,253,149,115,149,43,373,2421,767,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SchemaTO.java",20,2,21,420,0,4,277,67,134,67,102,605,3146,822,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java",2,2,2,273,0,3,161,35,49,35,72,521,3060,822,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java",16,0,16,226,0,3,165,86,104,86,53,388,2446,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java",2,0,2,192,0,3,113,77,34,77,37,342,2372,660,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/TaskTO.java",12,1,16,287,0,3,194,106,101,106,46,349,2385,660,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java",10,3,13,112,0,3,98,69,84,69,32,297,2279,269,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/UserTO.java",29,0,39,751,0,3,482,104,213,104,94,585,3245,789,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java",2,1,2,220,0,3,127,35,34,35,59,396,2455,822,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java",4,1,4,124,0,3,85,34,46,34,35,320,2272,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java",20,2,21,159,0,3,146,92,133,92,30,284,2223,285,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java",18,1,24,225,0,3,188,147,151,147,41,347,2665,285,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java",10,11,52,667,0,5,533,353,399,353,53,388,2764,265,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java",2,0,4,103,0,3,83,62,63,62,39,355,2732,254,3,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java",7,1,13,144,0,3,120,72,96,72,33,328,2615,767,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java",1,1,10,211,0,3,152,88,93,88,48,406,2812,767,2,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java",8,1,8,131,0,3,103,59,75,59,32,299,2259,767,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java",0,1,0,111,0,3,70,14,29,14,43,380,2524,783,2,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java",20,1,24,307,0,3,241,131,175,124,57,460,2707,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/AttributableType.java",0,0,0,105,0,3,66,15,27,14,38,335,2388,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/AuditElements.java",2,0,2,604,0,3,424,164,244,123,88,582,3205,822,2,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/AuditLoggerName.java",5,3,9,112,0,1,105,98,98,98,12,102,808,136,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java",1,0,1,129,0,3,83,16,37,14,40,347,2401,783,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java",0,0,0,109,0,3,70,15,31,14,45,363,2466,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java",15,1,17,277,0,4,192,35,107,35,63,451,2859,822,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ConnConfProperty.java",7,1,8,244,0,3,155,35,66,35,66,478,2910,822,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ConnParameterType.java",1,0,1,147,0,3,92,17,37,16,48,352,2409,783,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/types/ConnectorCapability.java",0,0,0,133,0,3,84,14,35,14,47,362,2456,783,0,No
