@relation dataset_C-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
2,3,2,142,0,3,102,47,62,47,36,338,2724,452,0,No
0,3,0,158,0,3,120,81,82,81,32,321,2637,177,0,No
8,7,12,442,0,3,309,159,176,159,47,393,2859,450,0,No
1,0,1,159,0,3,98,15,37,14,49,397,2537,783,0,No
16,14,61,1537,0,5,1032,532,527,532,51,381,2778,177,0,No
1,5,2,521,0,3,314,190,107,190,55,457,3092,279,0,No
9,9,15,677,0,3,431,224,185,224,56,447,3061,450,0,No
3,3,3,96,0,4,72,43,48,43,37,356,2760,282,0,No
5,2,5,644,0,5,358,73,72,68,81,532,2942,731,0,No
1,2,2,116,0,4,83,54,50,54,33,328,2658,579,0,No
7,6,9,710,0,5,395,73,80,68,81,532,2942,731,0,No
7,3,7,210,0,4,141,77,72,77,35,350,2733,272,0,No
5,6,32,519,0,5,355,141,191,57,51,437,2967,339,0,No
10,4,11,213,0,3,162,116,111,116,27,197,1464,164,0,No
5,3,7,404,0,5,238,120,72,120,47,377,2896,752,0,No
5,4,7,448,0,5,276,120,104,120,47,405,2990,752,0,No
18,6,30,2584,0,5,1445,241,306,216,90,552,3286,822,0,No
16,8,23,863,0,5,528,147,193,147,88,588,3400,647,0,No
6,4,6,132,0,5,96,55,60,55,37,345,2755,265,0,No
13,7,21,1295,0,5,731,123,167,111,93,597,3432,773,0,Yes
2,3,2,169,0,4,104,54,39,54,37,364,2784,579,0,No
4,0,4,58,0,1,53,50,48,50,19,165,1300,164,0,No
2,0,2,98,0,3,74,50,50,50,37,348,2706,502,0,No
