@relation dataset_Bplus-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
25,1,52,0,0,3,0,0,0,0,0,0,0,692,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,806,1,No
8,0,8,0,0,4,0,0,0,0,0,0,0,845,1,No
29,0,39,0,0,3,0,0,0,0,0,0,0,812,1,No
18,1,24,0,0,3,0,0,0,0,0,0,0,308,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,806,1,No
15,1,17,0,0,4,0,0,0,0,0,0,0,845,1,No
7,1,8,0,0,3,0,0,0,0,0,0,0,845,1,No
2,0,3,0,0,1,0,0,0,0,0,0,0,132,1,No
3,0,6,0,0,3,0,0,0,0,0,0,0,790,1,No
1,1,8,0,0,3,0,0,0,0,0,0,0,669,1,No
6,2,11,0,0,3,0,0,0,0,0,0,0,565,1,No
1,7,3,0,0,3,0,0,0,0,0,0,0,475,1,No
7,0,12,0,0,3,0,0,0,0,0,0,0,405,1,No
8,2,28,0,0,1,0,0,0,0,0,0,0,187,1,No
2,6,7,0,0,3,0,0,0,0,0,0,0,405,1,No
2,3,2,0,0,3,0,0,0,0,0,0,0,475,1,No
3,5,11,0,0,3,0,0,0,0,0,0,0,781,1,No
10,5,18,0,0,3,0,0,0,0,0,0,0,754,1,No
0,2,0,0,0,4,0,0,0,0,0,0,0,804,1,No
2,5,2,0,0,3,0,0,0,0,0,0,0,754,1,No
2,5,5,0,0,3,0,0,0,0,0,0,0,754,1,No
3,5,11,0,0,3,0,0,0,0,0,0,0,475,1,No
10,13,22,0,0,4,0,0,0,0,0,0,0,362,1,No
7,10,11,0,0,4,0,0,0,0,0,0,0,200,1,No
5,5,15,0,0,3,0,0,0,0,0,0,0,314,1,No
1,5,1,0,0,3,0,0,0,0,0,0,0,291,1,No
6,6,11,0,0,3,0,0,0,0,0,0,0,314,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,845,1,No
11,6,21,0,0,5,0,0,0,0,0,0,0,781,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,806,1,No
1,1,10,0,0,3,0,0,0,0,0,0,0,292,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,845,1,No
5,0,16,0,0,4,0,0,0,0,0,0,0,754,1,No
5,0,5,0,0,3,0,0,0,0,0,0,0,754,1,No
6,1,32,0,0,5,0,0,0,0,0,0,0,362,1,No
19,0,35,0,0,3,0,0,0,0,0,0,0,362,1,No
9,0,30,0,0,1,0,0,0,0,0,0,0,175,1,No
4,4,5,0,0,3,0,0,0,0,0,0,0,291,1,No
1,1,4,0,0,4,0,0,0,0,0,0,0,319,1,No
7,21,26,0,0,4,0,0,0,0,0,0,0,295,1,Yes
