@relation dataset_B-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
6,0,18,364,0,3,311,275,258,275,35,333,2613,237,0,No
5,0,17,254,0,3,216,187,178,187,35,333,2613,237,0,No
0,0,0,144,0,4,88,21,32,21,59,403,2750,383,0,No
5,1,6,287,0,3,172,35,57,35,63,397,2490,822,0,No
25,1,52,342,0,3,276,147,210,147,44,369,2671,669,0,No
0,0,0,134,0,3,84,15,34,14,42,355,2409,783,0,No
8,0,8,240,0,4,153,35,66,35,59,374,2387,822,0,No
29,0,39,751,0,3,482,104,213,104,94,585,3245,789,0,No
18,1,24,225,0,3,188,147,151,147,41,347,2665,285,0,No
1,0,1,129,0,3,83,16,37,14,40,347,2401,783,0,No
15,1,17,277,0,4,192,35,107,35,63,451,2859,822,0,No
7,1,8,244,0,3,155,35,66,35,66,478,2910,822,0,No
2,0,3,69,0,1,69,69,69,69,8,85,782,109,0,No
3,0,6,613,0,3,356,67,99,67,124,843,3740,767,0,No
1,1,8,391,0,3,237,69,83,69,46,410,2951,646,0,No
6,2,11,173,0,3,142,93,111,93,38,353,2724,542,0,No
1,7,3,146,0,3,106,59,66,59,42,381,2846,452,0,No
7,0,12,114,0,3,93,50,72,50,39,343,2710,382,0,No
8,2,28,375,0,1,279,226,183,226,19,165,1300,164,0,No
2,6,7,601,0,3,360,167,119,167,70,505,3259,382,0,No
2,3,2,104,0,3,77,47,50,47,37,347,2759,452,0,No
3,5,11,565,0,3,342,121,119,121,61,457,3290,758,0,No
10,5,18,1155,0,3,733,251,311,223,81,560,3407,731,0,No
0,2,0,114,0,4,81,25,48,25,34,291,2295,781,0,No
2,5,2,2492,0,3,1294,413,96,413,76,541,3406,731,0,No
2,5,5,4661,0,3,2391,437,121,413,107,670,3800,731,0,No
3,5,11,260,0,3,187,106,114,106,47,397,2960,452,0,No
10,13,22,869,0,4,566,309,263,309,61,483,3151,339,0,No
7,10,11,543,0,4,389,270,235,270,37,345,2734,177,0,No
5,5,15,469,0,3,332,217,195,217,45,412,2910,291,0,No
1,5,1,238,0,3,174,135,110,135,38,360,2765,268,0,No
6,6,11,412,0,3,303,217,194,217,43,408,2880,291,0,No
0,0,0,444,0,4,239,42,34,35,65,435,2846,822,0,No
11,6,21,703,0,5,452,93,201,93,92,565,3288,758,0,No
0,0,0,127,0,3,79,15,31,14,40,355,2422,783,0,No
1,1,10,181,0,3,137,86,93,86,37,350,2713,269,0,No
1,0,1,273,0,3,158,35,43,35,63,447,2772,822,0,No
5,0,16,332,0,4,213,56,94,56,50,425,2998,731,0,No
5,0,5,429,0,3,254,64,79,64,61,479,3190,731,0,No
6,1,32,429,0,5,284,201,139,201,45,379,2800,339,0,No
19,0,35,348,0,3,281,213,214,213,49,398,2867,339,0,No
9,0,30,210,0,1,206,203,202,203,17,161,1304,152,0,No
4,4,5,177,0,3,142,106,107,106,31,320,2610,268,0,No
1,1,4,170,0,4,118,54,66,54,42,380,2716,296,0,No
6,21,25,579,0,4,427,208,275,208,52,441,2849,272,0,Yes
9,1,18,419,0,3,277,35,135,35,97,594,3235,822,0,No
9,1,9,204,0,3,138,61,72,61,53,418,2611,779,0,No
7,1,7,212,0,3,135,61,58,61,52,442,2952,779,0,No
19,3,25,957,0,3,570,82,183,82,133,830,3749,787,0,No
39,6,49,1260,0,4,808,132,356,132,182,1179,4425,767,0,No
13,2,27,277,0,3,211,137,145,137,43,375,2752,177,0,No
17,4,18,368,0,4,260,121,152,121,84,566,3243,383,0,No
24,7,30,460,0,4,334,148,208,148,76,608,3244,746,0,No
53,9,96,1717,0,5,1145,144,573,144,173,1170,4411,776,0,No
12,5,12,235,0,3,144,35,53,35,70,530,3174,822,0,No
5,3,9,281,0,3,178,58,75,58,64,518,3179,811,0,No
8,12,19,768,0,3,469,96,170,96,108,810,3648,767,0,No
14,8,26,858,0,3,529,77,200,77,100,741,3617,811,0,No
0,0,0,453,0,3,242,42,31,35,65,431,2825,822,0,No
2,2,7,128,0,3,96,63,64,63,33,327,2606,279,0,No
2,4,12,197,0,4,136,63,75,63,45,400,2777,331,0,No
2,3,9,158,0,5,122,65,86,65,40,368,2699,377,0,No
4,13,19,367,0,4,273,196,179,196,43,403,2776,289,0,No
2,4,8,143,0,3,111,85,79,85,32,334,2651,289,0,No
1,9,25,257,0,4,196,139,135,139,39,390,2791,282,0,No
1,2,1,208,0,3,122,85,36,85,41,395,2804,352,0,No
1,1,1,74,0,3,57,38,40,38,32,316,2594,174,0,No
