Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java,10,3,13,112,0,3,98,69,84,69,32,297,2279,269,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java,2,1,2,220,0,3,127,35,34,35,59,396,2455,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java,4,1,4,124,0,3,85,34,46,34,35,320,2272,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java,20,2,21,159,0,3,146,92,133,92,30,284,2223,285,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java,10,11,52,667,0,5,533,353,399,353,53,388,2764,265,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java,7,1,13,144,0,3,120,72,96,72,33,328,2615,767,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java,8,1,8,131,0,3,103,59,75,59,32,299,2259,767,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java,20,1,24,307,0,3,241,131,175,124,57,460,2707,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/AttributableType.java,0,0,0,105,0,3,66,15,27,14,38,335,2388,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/AuditLoggerName.java,5,3,9,112,0,1,105,98,98,98,12,102,808,136,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java,0,0,0,109,0,3,70,15,31,14,45,363,2466,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/ConnParameterType.java,1,0,1,147,0,3,92,17,37,16,48,352,2409,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/ConnectorCapability.java,0,0,0,133,0,3,84,14,35,14,47,362,2456,783,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java,48,1,52,403,0,4,378,267,353,267,43,355,2393,352,0,No
